Bucket Name,Region,Size,Objects
829513730864-devtools,sa-east-1,0.00 bytes,0
alb-logs-logs-829513730864,us-east-1,66.24 KB,19
amazon-cloudfront-secure-static-site-s3bucketlogs-1fwc5e9tp0w0a,us-east-1,0.00 bytes,0
amazon-cloudfront-secure-static-site-s3bucketroot-1veuv79g7io3m,us-east-1,2.51 KB,6
athena-query-829513730864,us-east-1,5.44 KB,18
aws-athena-query-results-cid-829513730864-us-east-1,us-east-1,1.02 GB,154
aws-athena-query-results-us-east-1-829513730864,us-east-1,552.00 bytes,4
aws-cloudtrail-logs-829513730864-0d884b35,us-east-1,14.12 GB,"2,472,097"
aws-devops-metrics-0a596728-941a-4e96-887a-7ca6a1682f38,us-east-1,1.44 MB,878
aws-devops-metrics-logging-0a596728-941a-4e96-887a-7ca6a1682f38,us-east-1,6.24 MB,"5,189"
aws-glue-assets-829513730864-us-east-1,us-east-1,249.18 KB,3
aws-license-manager-service-f0c5e452-3d1c-bc43-acb8-bdaad9b22s,us-east-1,5.29 KB,10
aws-logs-829513730864-us-east-1,us-east-1,9.12 MB,"2,767"
aws-quicksetup-patchpolicy-829513730864-bvkjd,us-east-1,41.72 MB,"2,157"
aws-quicksetup-patchpolicy-829513730864-id9f7,us-east-1,41.80 MB,"2,159"
aws-quicksetup-patchpolicy-829513730864-r4q98,us-east-1,35.84 MB,"2,161"
aws-quicksetup-patchpolicy-access-log-829513730864-a32b-bvkjd,us-east-1,15.77 MB,"13,921"
aws-quicksetup-patchpolicy-access-log-829513730864-b097-id9f7,us-east-1,17.09 MB,"15,108"
aws-quicksetup-patchpolicy-access-log-829513730864-r4q98,us-east-1,38.58 MB,"30,335"
aws-sam-cli-managed-default-samclisourcebucket-6yf77hdwuuxp,us-east-1,12.46 MB,20
aws-waf-logs-us-east-1-analytics-estanqua,us-east-1,0.00 bytes,0
blog-demos-estanqua,us-east-1,14.14 GB,"1,716,969"
catalog-templates-products-2022-xptoxyz,us-east-1,32.56 KB,7
cdk-hnb659fds-assets-829513730864-us-east-1,us-east-1,16.09 MB,207
cdk-hnb659fds-assets-829513730864-us-west-2,us-west-2,0.00 bytes,0
cdk-workshop-cdk-pipeline-pipelineartifactsbucketa-er7gy3nwnww7,us-east-1,204.91 KB,8
cea-829513730864-bucket-s3-xpto,us-east-1,345.07 KB,62
cea-sharedsvcs-ue1-s3bucket-09291748123456789,us-east-1,0.00 bytes,0
central-logging-accesslogsbucket83982689-1nkziciv2mdj3,us-east-1,0.00 bytes,0
central-logging-accesslogsbucket83982689-rmm23qhh62f1,us-east-1,23.99 MB,"13,548"
central-logging-accesslogsbucket83982689-vb8ko1em35ga,us-east-1,23.89 MB,"13,522"
central-logging-clbucket116f9f6b-14z7gwhmwwap2,us-east-1,0.00 bytes,0
central-logging-clbucket116f9f6b-j25k0h0sql2y,us-east-1,0.00 bytes,0
central-logging-elastics-webconsoleuicloudfrontlo-1xwepu1vfdl8l,us-east-1,4.31 KB,2
central-logging-elastics-webconsoleuis3bucket2219-hwz1o5fwcv8q,us-east-1,19.40 MB,61
central-logging-elastics-webconsoleuis3loggingbuc-1lhx9p4kotmbn,us-east-1,1.55 MB,868
central-logging-elasticse-clloggingbucket5f34e4eb-ohggs6mn425r,us-east-1,0.00 bytes,0
central-logging-test-accesslogsbucket83982689-vi0dorzqgwi4,us-east-1,13.44 MB,"5,745"
central-logging-test-cldemost-trailbucketa831ce63-ciacmp7ryaqu,us-east-1,195.00 bytes,2
central-logging2-accesslogsbucket83982689-1boi1245ilnle,us-east-1,0.00 bytes,0
central-logging3-accesslogsbucket83982689-1ec2b6vfg63rk,us-east-1,23.97 MB,"13,517"
central-logging3-clbucket116f9f6b-1s8iw3grtdnye,us-east-1,0.00 bytes,0
central-logging3-cldemostackn-trailbucketa831ce63-qct9qntgk4bz,us-east-1,195.00 bytes,2
cf-templates-54v2g8rx5oou-sa-east-1,sa-east-1,0.00 bytes,0
cf-templates-54v2g8rx5oou-us-east-1,us-east-1,14.97 MB,"1,508"
cf-templates-54v2g8rx5oou-us-east-2,us-east-2,0.00 bytes,0
cf-templates-54v2g8rx5oou-us-west-2,us-west-2,0.00 bytes,0
cia-estanqua-bucket-pipeline-petro-codecommit,us-east-1,0.00 bytes,0
cid-829513730864-currency,us-east-1,488.00 bytes,2
cid-829513730864-data-exports,us-east-1,379.04 MB,87
cid-829513730864-data-local,us-east-1,379.68 MB,266
cid-829513730864-local,us-east-1,382.61 MB,645
cloudformationmanageduploadinfras-accesslogsbucket-geyd9i83l0lf,us-east-1,11.29 MB,"7,780"
cloudformationmanageduploadinfrastr-artifactbucket-hrkwzbttvtdv,us-east-1,30.81 KB,2
cloudtrail-awslogs-829513730864-vwormd5j-isengard-do-not-delete,us-east-1,19.05 GB,"2,444,360"
codepipeline-us-east-1-853882131120,us-east-1,99.19 MB,42
codepipelinebuilddeployst-builddeploypipelineartif-hzw9rj3quf60,us-west-2,0.00 bytes,0
codepipelinebuilddeployst-builddeploypipelineartif-jay7sr49leaq,us-west-2,0.00 bytes,0
codepipelinebuilddeployst-builddeploypipelineartif-pa43fjxl5uto,us-east-1,73.67 KB,23
codepipelinebuilddeployst-builddeploypipelineartif-qpng4rhonhhv,us-west-2,0.00 bytes,0
codepipelinebuilddeployst-builddeploypipelineartif-xkylf0ncshlv,us-east-1,200.52 KB,75
codepipelinebuilddeployst-codescanreportbuckete793-j5hl5htw2py4,us-west-2,0.00 bytes,0
codepipelinebuilddeployst-codescanreportbuckete793-tgsuuscelhfm,us-east-1,46.21 KB,26
codepipelinebuilddeployst-codescanreportbuckete793-ukojqvo40rqs,us-east-1,29.46 KB,15
compute-optimizer-test-xpto2022,us-east-1,52.78 KB,3
config-bucket-829513730864,us-east-1,60.38 MB,"12,555"
cur-data-export-dashboard-estanqua,us-east-1,22.20 MB,53
cur-teste-2022-fev01,us-east-1,205.16 MB,807
cur-teste-2024-estanqua,us-east-1,0.00 bytes,0
cw-exporttask-rs3bucket-hobyv1ywtlkj,us-east-1,8.27 KB,57
do-not-delete-gatedgarden-audit-829513730864,us-west-2,0.00 bytes,0
eks-upgrades-workshop-c9outputbucket-1qyhwgqg5t1x9,us-east-1,0.00 bytes,0
elasticbeanstalk-us-east-1-829513730864,us-east-1,821.00 bytes,6
estanqua-static-website-bucket,us-east-1,25.15 KB,6
example-logging-dev-829513730864-us-east-2,us-east-2,0.00 bytes,0
faceswap-model-weight-829513730864,us-west-2,0.00 bytes,0
iot-device-simulator-commonresourceslogbucketfc1a-2ld8uq37c852,us-east-1,49.22 MB,"26,489"
iot-device-simulator-consoledistributions3bucket5-15xh4pkqjp4l1,us-east-1,0.00 bytes,0
iot-device-simulator-storageroutesbucketbb9ef62b-qbksonnmadfm,us-east-1,0.00 bytes,0
iot-lorawan-estanqua-lambda,us-east-1,1.32 MB,82
iotdevicesimulator-commonresourceslogbucketfc1abc-7eszwd686neq,us-east-1,50.14 MB,"28,204"
iotdevicesimulator-consoledistributions3bucket51f-14crhnl0jl1tz,us-east-1,5.77 MB,49
iotdevicesimulator-storageroutesbucketbb9ef62b-gl099s3y9dul,us-east-1,1.26 MB,18
my-autotag-bucket-estanqua,us-east-1,5.85 MB,2
netflix-metaflow-analytics-metaflows3bucket-ee9arotr83sj,us-east-1,0.00 bytes,0
netflix-metaflow-metaflows3bucket-lwbv0mho5xkd,us-east-1,0.00 bytes,0
pdf-reader-estanqua-2024,us-east-1,127.67 KB,1
prowler-ecs-rs3resultsbucket-w6sk9mvxbbs6,us-east-1,579.87 MB,108
rain-artifacts-829513730864-sa-east-1,sa-east-1,0.00 bytes,0
rain-artifacts-829513730864-us-east-1,us-east-1,0.00 bytes,0
rain-artifacts-829513730864-us-west-2,us-west-2,0.00 bytes,0
rds-optimizer-bucket,us-east-1,23.87 KB,20
role-transit-tag-lambda-estanqua,us-east-1,0.00 bytes,0
s3-bucket-69409e88-e74f-11ec-8fea-0242ac120002,us-east-1,0.00 bytes,0
s3-bucket-829513730864-xpto-1234-2022,us-east-1,65.00 bytes,1
s3-cea-service-catalog-ue1-produtos123434534654656,us-east-1,0.00 bytes,0
s3-cia-my-tf-test-bucket-lambda-001,us-east-1,34.14 MB,23
s3-cia-my-tf-test-bucket-lambda-001-kinesis-estanqua,us-east-1,1.04 GB,"3,375"
s3-cia-my-tf-test-bucket-logging-001,us-east-1,4.61 MB,"1,037"
s3-cloudtrail-estanqua-ohio,us-east-2,0.00 bytes,0
s3-lambda-zipfiles-s3bucket-s6p5elh24dxh,us-east-1,20.35 KB,5
s3-logs-extension-demo-logextensionsbucket-1rjyt1siq9fga,us-east-1,0.00 bytes,0
s3-monitor-rbucketoutput-zucodzgfvvqa,us-east-1,0.00 bytes,0
s3staticwebsitestack-cloudfronttos3cloudfrontloggi-ajwlg4iwgfuo,us-east-1,0.00 bytes,0
s3staticwebsitestack-cloudfronttos3cloudfrontloggi-kq1pj1fvkny9,us-east-1,6.28 KB,1
s3staticwebsitestack-cloudfronttos3s3bucket9ce6ab0-tpcqxnlfayb4,us-east-1,7.58 KB,182
